galaxy,tier,age_confidence,morphology_bin,t50_gyr,g98,psi,beta_eff,chi2nu_configg,chi2nu_mond,chi2nu_nfw,rho,phi_last,n_points,vmax_obs_kms,r_knee_kpc,g_outer,chimera_flag
UGC 00731,T1,MEDIUM,DWARF,3.7,162.32935429828697,0.01287389314750422,2.7024650707129863,0.6943082430981828,0.2765596346733205,0.0047947749089535,0.8146022598062972,0.8526623283090955,12,74.0,8.19,132.23385884509622,False
UGC 05829,T2,HIGH,DWARF,4.5,248.6846049270509,0.02398681189548011,2.668190182575485,0.0750060756960098,0.3608885152060496,0.0037147636613738,0.9346576896449932,0.9999957029032478,11,68.6,5.65,232.43497829233,False
CamB,T2,MEDIUM-LOW,DWARF,4.1,319.01572225266364,0.028035419497490482,2.655797669907367,0.6067299268637472,0.997345510945796,0.0184828889767349,0.4729214736159535,0.6716545491745909,9,20.1,0.73,150.86938547486034,False
UGC 05750,T2,HIGH,DWARF,5.7,237.981842838216,0.02907567420109383,2.6526216145454464,0.1776034790466081,1.1414603803187668,0.0649877872626819,0.3809339768173471,0.944209036025738,11,78.9,9.43,90.65536980306344,False
UGC 08837,T2,MEDIUM,DWARF,5.0,357.9872864191242,0.03836619436909206,2.624402287724058,0.4974522106854993,1.1518661693067969,0.0420238919731591,0.7933632370609981,0.7503252130206063,8,48.0,2.63,284.0139523809524,False
DDO 161,T2,MEDIUM-LOW,DWARF,5.0,478.9560010286744,0.051330647000115144,2.585459263232304,0.2804930762381799,1.2720120044224963,0.0057489619792652,0.1496155218909219,0.8829381592153913,31,67.5,2.02,71.65925205684367,False
UGC 07524,T2,HIGH,SPIRAL,4.7,551.2594260869562,0.055534773065732713,2.5729388001562845,0.1139137053417108,0.5584726746392641,0.0185642533012589,0.4518636686349868,0.3104657254127639,31,83.8,0.35,249.09410664172125,False
UGC 05005,T2,HIGH,SPIRAL,6.0,434.24644029044737,0.055846843609180005,2.5720115083101747,0.6838054766075647,1.2014176096848128,0.0299196467423934,0.17621294985461,0.6572922311805376,11,100.0,3.91,76.51984620761972,False
UGC 12732,T2,HIGH,SPIRAL,7.0,450.72003125,0.06762636041389805,2.5372204216165377,0.7601374108001848,0.2300013662860209,0.0031649424139223,0.3460599740924345,0.8323526295174268,16,98.0,1.92,155.97616233766234,False
UGC 06446,T2,HIGH,SPIRAL,4.6,774.2945448275863,0.07634404137280612,2.511735139617957,0.6106791067085416,0.0646467992843796,0.0136144738953066,0.1973529026520248,0.4992357097720352,17,84.9,0.58,152.8092759295499,False
UGC 04278,T2,HIGH,SPIRAL,6.0,623.0601019381443,0.08012947682147009,2.50073778615065,0.2899652411583652,0.191379615390161,0.0434858150643622,0.635853405890323,0.9250677475025008,25,92.8,1.25,396.1748878923767,False
F568-3,T2,MEDIUM-LOW,SPIRAL,7.6,498.231190385271,0.0811625379801959,2.497743786060035,0.4812200904851591,0.4330286589594742,0.1183464221863684,0.437483233079234,0.1913742469321094,18,120.0,4.19,217.9677919911012,False
UGC 08286,T2,HIGH,SPIRAL,5.6,677.7704239840107,0.08135453282270458,2.4971876906603403,0.4225985430126094,0.0339923991418427,0.0226058653970278,0.2651075252657658,0.7039426356976336,17,84.3,2.37,179.68203980099506,False
F574-1,T2,MEDIUM,SPIRAL,5.5,755.3445920567377,0.0890469253721451,2.4749949889690788,0.2145289091961902,0.2920064517513877,0.0657580718747807,0.3593688815992636,0.6186849500171805,14,99.7,1.41,271.4473412698413,False
NGC 0247,T2,HIGH,SPIRAL,7.4,563.719081684241,0.08941400961253877,2.473940205498652,0.1825704443203346,0.7499075331423761,0.0192249888269628,0.4372678138143179,0.4259124859534708,26,108.0,2.15,246.49621045392024,False
UGC 01230,T2,HIGH,SPIRAL,6.0,704.8977383524278,0.09065431538806033,2.470379161607161,0.4427761577447336,1.03011493560191,0.1550651920703902,0.0987069812742026,0.7576315344000524,11,113.0,2.35,69.5783278598796,False
UGC 00191,T2,MEDIUM,SPIRAL,5.0,932.3110591133004,0.0999175911082973,2.443922572482278,0.347931264924569,0.2652833724983555,0.04691998506453,0.2318459090417375,0.2032481578454109,9,83.85,0.87,216.1525050100201,False
UGC 06399,T2,HIGH,SPIRAL,7.6,620.8034546600985,0.1011297263989529,2.440478723294764,0.2641439614995502,0.2181913582224383,0.0288246831015151,0.4758009178032592,0.3935900222247364,9,87.6,1.74,295.3788535031847,False
UGC 04499,T2,HIGH,DWARF,5.4,942.117010989011,0.10904599518456423,2.4180898385694545,0.3635656889129131,0.7844526800921848,0.0204772786115992,0.2775530318554121,0.6004827609005557,9,74.3,0.91,261.4874327628362,False
UGC 04325,T2,HIGH,SPIRAL,5.7,924.714907458284,0.11297798629296993,2.40703504125072,0.2562027670534091,0.1639727959887496,0.0293088807461856,0.5654855864021935,1.0,8,92.7,2.79,522.9129516994633,False
NGC 4183,T2,MEDIUM,SPIRAL,5.2,1601.2648643678156,0.1784750995565791,2.2291409908597744,0.3309089823101077,1.4736411312439972,0.0135817572675647,0.1110159303523418,0.4054027184464385,23,115.0,1.2897355232650238,177.76590865842056,False
UGC 06983,T2,HIGH,SPIRAL,5.1,1782.6967685823756,0.19487618467377105,2.1863891203011607,0.6062805686150569,0.2982180087678327,0.045321310175345,0.1147084139497542,0.9778615371352044,17,113.0,2.479244803767818,204.49031887755103,False
