galaxy,tier,age_confidence,morphology_bin,t50_gyr,g98,beta_eff,chi2nu_configg,chi2nu_mond,chi2nu_nfw,rho,phi_last,n_points,vmax_obs_kms,r_knee_kpc,g_outer,chimera_flag
NGC 5371,T2,MEDIUM,GIANT,7.5,32375.00085517243,-0.3816899476356414,1.048829444728106,27.034717622957864,0.4134300947883114,0.0237775650691096,0.4542835681341232,19,242.0,34.05288518589021,769.7986894463668,False
NGC 4088,T2,MEDIUM,SPIRAL,6.8,11061.20685578661,0.2276347422150702,10.769292646505653,20.85392668354631,0.0529327119149704,0.1084199246780388,0.8982479544123825,12,182.0,18.92687240101675,1199.2552141527,False
NGC 6195,T2,HIGH,BULGE-DOM,7.9,38719.26611497974,-0.3944780941368861,0.6865751666094992,19.269386984498368,0.2036863385795615,0.0362675369781409,0.4565609126146339,23,258.0,34.201190074364675,1404.2524155915455,False
NGC 3877,T2,MEDIUM,SPIRAL,7.3,10888.903094252872,0.172799324660281,3.5468525135663453,9.35425044726358,0.428827392276063,0.2987476711263301,0.8216045452627057,13,171.0,11.35,3253.0344405286346,False
NGC 7331,T2,HIGH,GIANT,7.0,42616.29342791137,-0.3936918734528421,4.149101651705092,24.75828862660402,0.0351452352703733,0.0218933783311069,0.9856928589154932,36,257.0,28.309128864517096,933.014635086753,False
NGC 3953,T3,MEDIUM-HIGH,GIANT,8.8,11518.261157969464,-0.0411757955468381,0.5039998668161734,9.696557136154723,0.0167289434262901,0.2727600203599447,0.7747082513803362,8,224.0,15.68,3141.721147959184,False
NGC 6946,T2,MEDIUM,BULGE-DOM,6.0,53690.955800987824,-0.3957920107190305,1.225281394087155,8.475243229300283,0.0346820840668306,0.014875242457118,0.96874846056508,58,181.0,14.974114412127012,798.6659852941177,True
NGC 3521,T1,MEDIUM,GIANT,3.2,67758.56586530268,-0.3688303327761039,1.0454780446379086,8.919994546653404,0.0393904108208606,0.0195536727342382,0.306292166845613,41,220.0,16.429544881589816,1324.9288218714769,True
NGC 0891,T2,MEDIUM,BULGE-DOM,7.8,73817.49527574962,-0.3989285608275577,2.4521519410541748,22.460270248393154,0.559955257001835,0.0317601466719536,0.949152849827361,18,234.0,17.11,2344.4544769140853,False
NGC 4157,T3,MEDIUM,GIANT,8.4,13730.499083323482,-0.1337846940432245,2.599903950396403,11.631650104593575,0.053610792311715,0.0435597301961819,0.663689463997861,17,201.0,18.68737398573451,598.0968355285376,False
NGC 5907,T2,MEDIUM,GIANT,7.0,6121.190238897213,0.8550121002244251,4.736555344635173,7.613402829075082,0.1764422947230684,0.0645688499072255,0.5361639292364178,19,235.0,24.56097807072001,395.2382137889927,False
NGC 3992,T2,MEDIUM-HIGH,GIANT,7.2,5054.556840990105,1.041099667006383,4.83819184524337,4.516520207343494,0.0356438385523215,0.1069060037975438,0.5830627022419936,9,272.0,28.18501107150262,540.3624728378965,False
NGC 3726,T2,MEDIUM,SPIRAL,5.5,5387.333857463467,1.265719092800896,14.850760028362686,10.27959504601605,0.1014942475430856,0.0652297693428714,0.576826668796097,12,169.0,15.82684062233994,351.41454489544896,False
UGC 09037,T2,MEDIUM,SPIRAL,5.0,7024.82957680365,1.0807959859392853,9.1338034154156,12.180678436884252,0.1025683796096408,0.0763624922729505,0.4724695832406159,22,160.0,14.656200973680392,536.4334942775394,False
NGC 4217,T3,HIGH,BULGE-DOM,9.0,28015.658179310347,-0.3848165435662213,3.81746529986457,17.900354270401124,0.4004653636621076,0.0504089330602247,0.9514436967659368,19,191.0,15.746436051491017,1412.2394377990431,False
NGC 2955,T2,HIGH,BULGE-DOM,7.4,37785.86105935484,-0.3911033654871819,1.03166698343868,14.09922233448146,0.4790120650206668,0.0342387282321621,0.680100422231943,24,276.0,32.02874298772093,1293.7398278295232,False
