Dataset,Radius,Richness_bin,Min_N,N_clusters,chi2,df,chi2_p,N_p05,expected_p05,excess_p05_binom_p,KS_stat,KS_p,N_p01,expected_p01,excess_p01_binom_p
SpArcFiRe×redMaPPer (spec-z gated),1 Mpc,low(<40),5,195,203.92820512820512,195.0,0.31596383419115726,5,9.75,0.9687758120541213,0.4307692307692308,2.1659466340830417e-33,0,1.95,1.0
SpArcFiRe×redMaPPer (spec-z gated),1 Mpc,low(<40),10,41,45.105982905982906,41.0,0.3042439446138264,2,2.0500000000000003,0.6144635303046906,0.3414634146341463,9.031145366465696e-05,0,0.41000000000000003,1.0
SpArcFiRe×redMaPPer (spec-z gated),1 Mpc,low(<40),20,0,,,,0,0.0,,,,0,0.0,
SpArcFiRe×redMaPPer (spec-z gated),1 Mpc,mid(40-<80),5,63,58.61394901394901,63.0,0.6332254471534541,1,3.1500000000000004,0.960500906093562,0.4285714285714286,5.03795669300251e-11,0,0.63,1.0
SpArcFiRe×redMaPPer (spec-z gated),1 Mpc,mid(40-<80),10,22,17.883790283790283,22.0,0.7128557272708216,1,1.1,0.6764664550262907,0.36363636363636365,0.0040984990956443035,0,0.22,1.0
SpArcFiRe×redMaPPer (spec-z gated),1 Mpc,mid(40-<80),20,2,0.4656084656084656,2.0,0.7923086663885721,0,0.1,1.0,0.6636238098144531,0.2262978826474864,0,0.02,1.0
SpArcFiRe×redMaPPer (spec-z gated),1 Mpc,high(>=80),5,13,13.770562770562771,13.0,0.39019830814489354,0,0.65,1.0,0.3846153846153846,0.030649663073552214,0,0.13,1.0
SpArcFiRe×redMaPPer (spec-z gated),1 Mpc,high(>=80),10,4,1.8181818181818183,4.0,0.7691542501919811,0,0.2,1.0,0.5,0.1875,0,0.04,1.0
SpArcFiRe×redMaPPer (spec-z gated),1 Mpc,high(>=80),20,2,1.0,2.0,0.6065306597126334,0,0.1,1.0,0.5,0.5,0,0.02,1.0
SpArcFiRe×redMaPPer (spec-z gated),2 Mpc,low(<40),5,381,381.3870301528955,381.0,0.4847770006560853,9,19.05,0.9968474394440471,0.3989501312335958,3.166722096995523e-55,1,3.81,0.9782725308645739
SpArcFiRe×redMaPPer (spec-z gated),2 Mpc,low(<40),10,142,139.62036348622883,142.0,0.5407700358699441,4,7.1000000000000005,0.9283680364554215,0.27464788732394363,5.869946832916142e-10,0,1.42,1.0
