group,bin_left,bin_right,count
deep_interior_Rlt0p5,0,20,0
deep_interior_Rlt0p5,20,40,0
deep_interior_Rlt0p5,40,60,0
deep_interior_Rlt0p5,60,80,2
deep_interior_Rlt0p5,80,100,0
deep_interior_Rlt0p5,100,120,2
deep_interior_Rlt0p5,120,140,2
deep_interior_Rlt0p5,140,160,1
deep_interior_Rlt0p5,160,180,4
deep_interior_Rlt0p5,180,200,10
deep_interior_Rlt0p5,200,220,2
deep_interior_Rlt0p5,220,240,7
deep_interior_Rlt0p5,240,260,1
deep_interior_Rlt0p5,260,280,4
deep_interior_Rlt0p5,280,300,1
deep_interior_Rlt0p5,300,320,2
deep_interior_Rlt0p5,320,340,0
deep_interior_Rlt0p5,340,360,0
deep_interior_Rlt0p5,360,380,1
deep_interior_Rlt0p5,380,400,0
deep_interior_Rlt0p5,400,420,0
deep_interior_Rlt0p5,420,440,0
deep_interior_Rlt0p5,440,460,0
deep_interior_Rlt0p5,460,480,0
deep_interior_Rlt0p5,480,500,0
deep_interior_Rlt0p5,500,520,0
deep_interior_Rlt0p5,520,540,0
deep_interior_Rlt0p5,540,560,0
deep_interior_Rlt0p5,560,580,0
deep_interior_Rlt0p5,580,600,0
deep_interior_Rlt0p5,600,620,0
deep_interior_Rlt0p5,620,640,0
deep_interior_Rlt0p5,640,660,0
deep_interior_Rlt0p5,660,680,0
deep_interior_Rlt0p5,680,700,0
deep_interior_Rlt0p5,700,720,0
deep_interior_Rlt0p5,720,740,0
deep_interior_Rlt0p5,740,760,0
deep_interior_Rlt0p5,760,780,0
deep_interior_Rlt0p5,780,800,0
deep_body_Rlt1,0,20,2
deep_body_Rlt1,20,40,20
deep_body_Rlt1,40,60,23
deep_body_Rlt1,60,80,29
deep_body_Rlt1,80,100,48
deep_body_Rlt1,100,120,54
deep_body_Rlt1,120,140,58
deep_body_Rlt1,140,160,55
deep_body_Rlt1,160,180,74
deep_body_Rlt1,180,200,76
deep_body_Rlt1,200,220,72
deep_body_Rlt1,220,240,78
deep_body_Rlt1,240,260,59
deep_body_Rlt1,260,280,59
deep_body_Rlt1,280,300,41
deep_body_Rlt1,300,320,32
deep_body_Rlt1,320,340,46
deep_body_Rlt1,340,360,17
deep_body_Rlt1,360,380,23
deep_body_Rlt1,380,400,17
deep_body_Rlt1,400,420,17
deep_body_Rlt1,420,440,15
deep_body_Rlt1,440,460,8
deep_body_Rlt1,460,480,3
deep_body_Rlt1,480,500,6
deep_body_Rlt1,500,520,2
deep_body_Rlt1,520,540,1
deep_body_Rlt1,540,560,1
deep_body_Rlt1,560,580,1
deep_body_Rlt1,580,600,1
deep_body_Rlt1,600,620,0
deep_body_Rlt1,620,640,0
deep_body_Rlt1,640,660,0
deep_body_Rlt1,660,680,0
deep_body_Rlt1,680,700,0
deep_body_Rlt1,700,720,1
deep_body_Rlt1,720,740,0
deep_body_Rlt1,740,760,0
deep_body_Rlt1,760,780,0
deep_body_Rlt1,780,800,0
any_void_Rlt1,0,20,16
any_void_Rlt1,20,40,228
any_void_Rlt1,40,60,351
any_void_Rlt1,60,80,442
any_void_Rlt1,80,100,529
any_void_Rlt1,100,120,609
any_void_Rlt1,120,140,640
any_void_Rlt1,140,160,663
any_void_Rlt1,160,180,630
any_void_Rlt1,180,200,614
any_void_Rlt1,200,220,503
any_void_Rlt1,220,240,501
any_void_Rlt1,240,260,412
any_void_Rlt1,260,280,381
any_void_Rlt1,280,300,305
any_void_Rlt1,300,320,243
any_void_Rlt1,320,340,218
any_void_Rlt1,340,360,166
any_void_Rlt1,360,380,151
any_void_Rlt1,380,400,111
any_void_Rlt1,400,420,96
any_void_Rlt1,420,440,92
any_void_Rlt1,440,460,60
any_void_Rlt1,460,480,49
any_void_Rlt1,480,500,30
any_void_Rlt1,500,520,19
any_void_Rlt1,520,540,23
any_void_Rlt1,540,560,13
any_void_Rlt1,560,580,10
any_void_Rlt1,580,600,8
any_void_Rlt1,600,620,3
any_void_Rlt1,620,640,3
any_void_Rlt1,640,660,4
any_void_Rlt1,660,680,1
any_void_Rlt1,680,700,1
any_void_Rlt1,700,720,2
any_void_Rlt1,720,740,0
any_void_Rlt1,740,760,0
any_void_Rlt1,760,780,0
any_void_Rlt1,780,800,0
