group,bin_left,bin_right,count
deep_interior_Rlt0p5,-3.0,-2.75,0
deep_interior_Rlt0p5,-2.75,-2.5,0
deep_interior_Rlt0p5,-2.5,-2.25,0
deep_interior_Rlt0p5,-2.25,-2.0,0
deep_interior_Rlt0p5,-2.0,-1.75,0
deep_interior_Rlt0p5,-1.75,-1.5,0
deep_interior_Rlt0p5,-1.5,-1.25,0
deep_interior_Rlt0p5,-1.25,-1.0,0
deep_interior_Rlt0p5,-1.0,-0.75,1
deep_interior_Rlt0p5,-0.75,-0.5,5
deep_interior_Rlt0p5,-0.5,-0.25,7
deep_interior_Rlt0p5,-0.25,0.0,8
deep_interior_Rlt0p5,0.0,0.25,10
deep_interior_Rlt0p5,0.25,0.5,5
deep_interior_Rlt0p5,0.5,0.75,2
deep_interior_Rlt0p5,0.75,1.0,0
deep_interior_Rlt0p5,1.0,1.25,1
deep_interior_Rlt0p5,1.25,1.5,0
deep_interior_Rlt0p5,1.5,1.75,0
deep_interior_Rlt0p5,1.75,2.0,0
deep_interior_Rlt0p5,2.0,2.25,0
deep_interior_Rlt0p5,2.25,2.5,0
deep_interior_Rlt0p5,2.5,2.75,0
deep_interior_Rlt0p5,2.75,3.0,0
deep_interior_Rlt0p5,3.0,3.25,0
deep_interior_Rlt0p5,3.25,3.5,0
deep_interior_Rlt0p5,3.5,3.75,0
deep_interior_Rlt0p5,3.75,4.0,0
deep_body_Rlt1,-3.0,-2.75,0
deep_body_Rlt1,-2.75,-2.5,0
deep_body_Rlt1,-2.5,-2.25,0
deep_body_Rlt1,-2.25,-2.0,0
deep_body_Rlt1,-2.0,-1.75,0
deep_body_Rlt1,-1.75,-1.5,0
deep_body_Rlt1,-1.5,-1.25,2
deep_body_Rlt1,-1.25,-1.0,20
deep_body_Rlt1,-1.0,-0.75,61
deep_body_Rlt1,-0.75,-0.5,130
deep_body_Rlt1,-0.5,-0.25,173
deep_body_Rlt1,-0.25,0.0,165
deep_body_Rlt1,0.0,0.25,169
deep_body_Rlt1,0.25,0.5,119
deep_body_Rlt1,0.5,0.75,56
deep_body_Rlt1,0.75,1.0,12
deep_body_Rlt1,1.0,1.25,11
deep_body_Rlt1,1.25,1.5,5
deep_body_Rlt1,1.5,1.75,0
deep_body_Rlt1,1.75,2.0,2
deep_body_Rlt1,2.0,2.25,1
deep_body_Rlt1,2.25,2.5,0
deep_body_Rlt1,2.5,2.75,0
deep_body_Rlt1,2.75,3.0,0
deep_body_Rlt1,3.0,3.25,0
deep_body_Rlt1,3.25,3.5,0
deep_body_Rlt1,3.5,3.75,0
deep_body_Rlt1,3.75,4.0,0
any_void_Rlt1,-3.0,-2.75,0
any_void_Rlt1,-2.75,-2.5,0
any_void_Rlt1,-2.5,-2.25,0
any_void_Rlt1,-2.25,-2.0,0
any_void_Rlt1,-2.0,-1.75,6
any_void_Rlt1,-1.75,-1.5,24
any_void_Rlt1,-1.5,-1.25,67
any_void_Rlt1,-1.25,-1.0,214
any_void_Rlt1,-1.0,-0.75,573
any_void_Rlt1,-0.75,-0.5,931
any_void_Rlt1,-0.5,-0.25,1238
any_void_Rlt1,-0.25,0.0,1299
any_void_Rlt1,0.0,0.25,1390
any_void_Rlt1,0.25,0.5,1072
any_void_Rlt1,0.5,0.75,642
any_void_Rlt1,0.75,1.0,287
any_void_Rlt1,1.0,1.25,134
any_void_Rlt1,1.25,1.5,46
any_void_Rlt1,1.5,1.75,28
any_void_Rlt1,1.75,2.0,17
any_void_Rlt1,2.0,2.25,8
any_void_Rlt1,2.25,2.5,3
any_void_Rlt1,2.5,2.75,2
any_void_Rlt1,2.75,3.0,1
any_void_Rlt1,3.0,3.25,0
any_void_Rlt1,3.25,3.5,0
any_void_Rlt1,3.5,3.75,0
any_void_Rlt1,3.75,4.0,0
wall_not_in_any_void,-3.0,-2.75,1
wall_not_in_any_void,-2.75,-2.5,0
wall_not_in_any_void,-2.5,-2.25,4
wall_not_in_any_void,-2.25,-2.0,4
wall_not_in_any_void,-2.0,-1.75,27
wall_not_in_any_void,-1.75,-1.5,98
wall_not_in_any_void,-1.5,-1.25,334
wall_not_in_any_void,-1.25,-1.0,834
wall_not_in_any_void,-1.0,-0.75,1746
wall_not_in_any_void,-0.75,-0.5,2643
wall_not_in_any_void,-0.5,-0.25,3184
wall_not_in_any_void,-0.25,0.0,3326
wall_not_in_any_void,0.0,0.25,3287
wall_not_in_any_void,0.25,0.5,2714
wall_not_in_any_void,0.5,0.75,1678
wall_not_in_any_void,0.75,1.0,903
wall_not_in_any_void,1.0,1.25,402
wall_not_in_any_void,1.25,1.5,182
wall_not_in_any_void,1.5,1.75,104
wall_not_in_any_void,1.75,2.0,53
wall_not_in_any_void,2.0,2.25,26
wall_not_in_any_void,2.25,2.5,19
wall_not_in_any_void,2.5,2.75,5
wall_not_in_any_void,2.75,3.0,6
wall_not_in_any_void,3.0,3.25,3
wall_not_in_any_void,3.25,3.5,1
wall_not_in_any_void,3.5,3.75,3
wall_not_in_any_void,3.75,4.0,0
