mass_bin,dn4000_slice,R_mpc,DeltaSigma_Msun_per_pc2,DeltaSigma_err_Msun_per_pc2,DeltaSigma_x_Msun_per_pc2,denom_sum_w2_approx,num_sum_w1_et,N_lenses_used
9.5-9.8,1,0.06057638293142942,-11.318382719508108,71.65907865749355,71.32489094616402,0.0001720128818619715,-0.0019469076295993279,108
9.5-9.8,1,0.08891397050194613,85.7055418048949,51.07447763170694,13.866742634373907,0.00035284032565541246,0.030240371280912684,108
9.5-9.8,1,0.13050786078412682,-34.94995112649392,33.85550299893217,-11.915103194125484,0.0007801230967859341,-0.02726526410531748,108
9.5-9.8,1,0.19155934247786435,-11.580249249282394,23.021974508150777,11.694208880844064,0.00166988827962955,-0.019337722496565565,108
9.5-9.8,1,0.2811706625951745,-11.599435808828943,16.28178514753301,-17.215181720271623,0.0034227037140917016,-0.039701432024247106,108
9.5-9.8,1,0.4127020926340091,-1.909871369882647,10.913156842920902,15.527327947937934,0.007556089246115505,-0.014431158519434157,108
9.5-9.8,1,0.6057638293142941,-1.1622736483613219,7.371719914709712,6.32851938556393,0.0165775359089535,-0.019267633141740206,108
9.5-9.8,1,0.8891397050194609,6.394822047685194,5.023892857446145,-0.7707033193193448,0.035273026989526945,0.22556473068122182,108
9.5-9.8,1,1.3050786078412682,1.7461661232803511,3.404726918863563,-1.904733447182255,0.07734333937666449,0.13505431908090676,108
9.5-9.8,1,1.9155934247786433,1.3591333827203722,2.348840655061129,2.0600638798331627,0.16284668861625917,0.22133037076382744,108
9.5-9.8,1,2.8117066259517443,0.8745893471810322,1.601744589401083,-2.9794514154761567,0.3484020263314207,0.304708700765746,108
9.5-9.8,1,4.127020926340092,-1.7444881238662655,1.1230699925152012,-1.61578757794852,0.7138906588470846,-1.2453737760978028,108
9.5-9.8,2,0.06057638293142942,-105.09321856820968,75.04742847684095,-15.071404972783284,0.00015948221765382797,-0.016760499557636532,107
9.5-9.8,2,0.08891397050194613,44.27869247032308,53.10461312112276,-20.383320723743093,0.00032007487445068206,0.01417249693327902,107
9.5-9.8,2,0.13050786078412682,11.687245644678546,34.70025516945141,15.652256041492723,0.0007515720793914715,0.008783807511529974,107
9.5-9.8,2,0.19155934247786435,2.811266745822914,23.480891449314527,7.99982002281196,0.0016301720030127143,0.0045828483420411745,107
9.5-9.8,2,0.2811706625951745,1.1208707783973402,16.21919488643238,-6.503453987915795,0.0034203025302071977,0.003833717159387734,107
9.5-9.8,2,0.4127020926340091,-12.112384137509647,11.086648556323912,7.056169631295729,0.007321188170765769,-0.08867704346730657,107
9.5-9.8,2,0.6057638293142941,5.9185941773617055,7.507463146478464,6.375270564109087,0.016013166305185678,0.09477543285499661,107
9.5-9.8,2,0.8891397050194609,-2.384560312290512,5.146343600927929,2.212902152026537,0.033882307960196756,-0.08079440685069009,107
9.5-9.8,2,1.3050786078412682,4.0057180728072295,3.5511221030066324,2.034522514667964,0.07119198504458968,0.2851750211321349,107
9.5-9.8,2,1.9155934247786433,-2.589710297405209,2.4289747603970886,-5.392698608686872,0.15229630311452258,-0.39440330443242416,107
9.5-9.8,2,2.8117066259517443,-0.5263157086433284,1.6890810810143122,2.066035421428541,0.31525648006747176,-0.16592443771111276,107
9.5-9.8,2,4.127020926340092,1.6780309161168814,1.1593596825518089,-4.254960029064812,0.665247986651238,1.1163066884852877,107
