galaxy,R_kpc,Vobs_kms,errV_kms,Sigma_HI_Msun_pc2,Sigma_H2_Msun_pc2,Sigma_gas_total_He_Msun_pc2,Sigma_star_Msun_pc2,Vgas_kms,Vdisk_kms,Vbulge_kms,Vbar_kms,kernel,source_ml_convention
M33_NGC598,0.24,37.3,6.2,7.12,8.966489002565755,21.395030373412457,316.59,3.0392748856079175,20.966644122762002,0.0,21.185781968122807,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,0.28,37.9,5.5,7.09,8.80493505256211,21.140263619907607,292.13,3.5080462068450378,24.31191059987908,0.0,24.563700560092173,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,0.46,47.1,3.9,6.76,8.113214757929425,19.781375628046135,230.46,5.433193991650034,34.55169116753814,0.0,34.976262800474196,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,0.64,53.5,2.8,6.38,7.475836370778213,18.428262373135023,184.39,7.060579057786292,40.963349678039854,0.0,41.56738858139417,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,0.73,55.1,3.3,6.32,7.176177869549757,17.94991656650118,164.93,7.783149627803062,43.03742907968782,0.0,43.73554298185778,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,0.82,58.5,2.5,6.22,6.888530762485768,17.43434591410607,151.18,8.464549459967502,44.63517840691578,0.0,45.430691707010546,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,1.08,66.2,3.3,5.84,6.120697141735013,15.907727198507567,124.13,10.120868925837591,49.13364243838235,0.0,50.16519517630518,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,1.22,69.4,2.8,5.52,5.743332624473158,14.9802323905493,111.64,10.767036647801108,51.2081597799525,0.0,52.32785784096495,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,1.45,74.6,5.0,5.75,5.173214129809032,14.527874792646013,93.78,11.669444244770363,54.026940225882,0.0,55.27283418780722,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,1.71,77.9,2.9,6.12,4.596579158845085,14.253050281263965,77.0,12.79699685410328,56.15682923023976,0.0,57.5964634129409,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,1.87,81.7,2.5,6.46,4.274149319487266,14.276418594918065,68.51,13.61642097601464,56.80297090019015,0.0,58.41219413173845,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,2.2,86.8,3.0,6.98,3.6787944117144233,14.176196567580186,57.8,15.681505806116009,58.08159241616932,0.0,60.16129155815447,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,2.28,90.1,2.1,7.07,3.547423114369883,14.121172742111945,55.47,16.25181745328813,58.39590452089464,0.0,60.6152063045936,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,2.69,94.4,3.9,6.27,2.944260907074565,12.25496700640917,44.91,18.3019742430199,59.99467782640378,0.0,62.72418695117657,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
M33_NGC598,2.7,95.4,1.8,6.26,2.9309082728375566,12.223908002873952,44.68,18.3301463748612,60.02280869207461,0.0,62.75931667417377,uniform_thickness_annular_quadrature_source_geometry,Corbelli2014_BVIgi_pixel_SED_stellar_surface_density_not_SPARC_unit_ML
