scale_Vdisk,ML_factor,ML,g98,beta,Hermes_chi2nu,Hermes_outer_chi2nu,Hermes_outer_mean_residual,MOND_chi2nu,MOND_outer_chi2nu,MOND_outer_mean_residual
0.5,0.25,0.170661708360799,716.7004228108708,2.4660271223968353,6.150906190946881,9.49709528994151,-66.33449849855418,1.5213231419680515,1.63974691995554,-27.268204896140983
0.525,0.275625,0.1881545334677809,781.9264023742303,2.4420949180268487,5.925318975340284,9.248902514555034,-65.45947989381351,1.4074953264151966,1.5503447205700727,-26.503416850578212
0.55,0.30250000000000005,0.20650066711656684,850.3341370382411,2.417210040619416,5.743073782483198,9.051498680257287,-64.75434641271897,1.2970529646806002,1.4612276777307325,-25.718036129996786
0.575,0.33062499999999995,0.22570010930715662,922.1807144152511,2.3913088509889335,5.5593181770158875,8.853251193518389,-64.0376749022736,1.1902965118961877,1.3727676893126275,-24.913508730420425
0.6,0.36,0.24575286003955052,998.1780543722336,2.364170501078904,5.382189017190285,8.655442151579178,-63.31391195069076,1.087495585208831,1.28531449223195,-24.091215554297566
0.625,0.390625,0.2666589193137484,1077.4093236890883,2.3361583269953297,5.211376868951438,8.457840349580131,-62.58194031753379,0.9888921306308437,1.199195509450921,-23.252470712872643
0.65,0.42250000000000004,0.2884182871297503,1159.8745223658143,2.307304365293498,5.047046088006965,8.260868574000755,-61.843043560393305,0.894703193759537,1.114715985852438,-22.398520789650362
0.675,0.45562500000000006,0.3110309634875562,1245.5736504024119,2.2776413657992616,4.89017143956186,8.066092353408019,-61.10293322236403,0.805123363509522,1.0321593627857275,-21.530544919127717
0.7,0.48999999999999994,0.334496948387166,1334.5067077988808,2.247202729907071,4.742753442515627,7.876585674001595,-60.37345437926498,0.720326943035837,0.9517878450625725,-20.649655544362354
0.725,0.525625,0.3588162418285799,1426.6736945552218,2.2160224481943707,4.601654066335452,7.688394344553933,-59.63953347592509,0.6404698903426386,0.8738431187158234,-19.75689972834034
0.75,0.5625,0.38398884381179776,1522.0746106714341,2.1841350375146122,4.466912356505622,7.501882323269696,-58.9024421224933,0.5656915620469991,0.7985471826095666,-18.853260906593512
0.775,0.6006250000000001,0.4100147543368196,1620.7094561475183,2.151575477730824,4.332924267232296,7.317303129708513,-58.16300435871437,0.4961162868506056,0.7261032617762996,-17.939660981382183
0.8,0.6400000000000001,0.4368939734036455,1722.5782309834738,2.118379148250845,4.1992377779308825,7.1349585224158725,-57.42234997146712,0.4318547900005334,0.6566967749765443,-17.016962670462892
0.825,0.6806249999999999,0.46462650101227515,1827.6809351793006,2.0845817645239757,4.072053755089992,6.955208403240371,-56.68200514930696,0.3730054860148946,0.5904963333107363,-16.085972035614063
0.8500000000000001,0.7225000000000001,0.49321233716270924,1936.017568735,2.0502193146569314,3.9512869301111575,6.778293472168944,-55.94300111659236,0.31965565390737594,0.5276547506865138,-15.147441127433451
0.875,0.765625,0.5226514818549469,2047.5881316505702,2.0153279963046034,3.8368284890371163,6.604426428117902,-55.20630986297668,0.2718825068289021,0.468310050516583,-14.202070693292763
0.9,0.81,0.5529439350889888,2162.392623926012,1.9799441539883067,3.7219194968601097,6.433754470553106,-54.47262817046155,0.2297541662712815,0.412586456179667,-13.250512904656498
0.925,0.8556250000000001,0.5840896968648346,2280.4310455613263,1.9441042169908527,3.6494200559791645,6.2916902806481785,-53.85333056468783,0.19333054960671556,0.3605953555259436,-12.29337406822859
0.95,0.9025,0.6160887671824843,2401.7033965565097,1.9078446379740432,3.4761307050634365,6.115085292105409,-53.07297485991873,0.162664178662829,0.3124362320683444,-11.331217292604647
0.9750000000000001,0.9506250000000002,0.6489411460419383,2526.209676911568,1.871201832459969,3.3856519352067065,5.961916228994379,-52.385933007605644,0.13780091617678175,0.26819755750054947,-10.364565088336496
1.0,1.0,0.682646833443196,2653.949886626496,1.8342121193129324,3.1258347363051717,5.7940742164231995,-51.62161771665222,0.11878063627592039,0.22795764185463774,-9.393901884632267
1.025,1.050625,0.7172058293862577,2784.9240257012966,1.7969116623537928,3.0402711817129218,5.640220489321604,-50.91030397903455,0.10563783455391774,0.1917854389914648,-8.41967645040283
1.05,1.1025,0.7526181338711236,2919.132094135968,1.759336413233247,2.7583132194369817,5.481468307582169,-50.16259192782399,0.0984021828197551,0.15974130624036448,-7.4423042111133775
1.0750000000000002,1.1556250000000003,0.7888837468977936,3056.574091930512,1.72152205568484,2.7799741716880666,5.338152846805402,-49.481832145007736,0.09709903317020412,0.1318777179057219,-6.4621694559932115
1.1,1.2100000000000002,0.8260026684662674,3197.250019084926,1.6835039512725718,2.65957326980757,5.1967116411691725,-48.79588932980637,0.10174987565906901,0.10823993306820089,-5.4796274326816805
1.125,1.265625,0.863974898576545,3341.1598755992127,1.6453170867416698,2.631446514457575,5.061796233142751,-48.13649468514034,0.1123727534973547,0.08886661865703722,-4.495006328422759
1.15,1.3224999999999998,0.9028004372286265,3488.3036614733705,1.6069960230746356,2.588025711478926,4.928837117030646,-47.47360832797203,0.12898263941001584,0.07379042918286005,-3.508609138534852
1.175,1.3806250000000002,0.9424792844225126,3638.6813767074013,1.5685748463479032,2.550618006526014,4.802549741069236,-46.83557935190696,0.1515917764916879,0.0630385448211061,-2.5207154241421366
1.2000000000000002,1.4400000000000004,0.9830114401582025,3792.2930213013033,1.530087120477567,2.4950418780949954,4.681291868690571,-46.220627808372875,0.1802099866420324,0.056633169744298516,-1.5315829621147858
1.225,1.5006250000000003,1.024396904435696,3949.138595255075,1.4915658419355218,2.475392893335535,4.5601630947297656,-45.59315483812534,0.21484494941845986,0.054591992734660574,-0.5414492908789236
1.25,1.5625,1.0666356772549936,4109.218098568719,1.4530433965101468,2.4478277437304867,4.441833908494312,-44.96801273876517,0.25550245391811294,0.05692861218151156,0.44946684373416895
1.275,1.6256249999999999,1.1097277586160954,4272.531531242234,1.4145515181783577,2.4190875132077037,4.341736043586153,-44.45482593672432,0.3021866260907469,0.06365292759318394,1.4409641380882423
1.3,1.6900000000000002,1.1536731485190013,4439.078893275624,1.3761212501484044,2.3992622732523916,4.230938279683609,-43.853497798461845,0.35490013368845913,0.07477149974130395,2.432857471074382
1.3250000000000002,1.7556250000000004,1.1984718469637112,4608.860184668883,1.3377829081253956,2.384182365129896,4.123701630485514,-43.26286157235805,0.41364437087620504,0.09028788151493332,3.4249767303595373
1.35,1.8225000000000002,1.2441238539502248,4781.8754054220135,1.2995660458440115,2.4078105921998088,4.055520900564192,-42.92101664753741,0.4784196243579905,0.11020292150047169,4.417165719723403
1.375,1.890625,1.2906291694785423,4958.124555535015,1.2614994229054444,2.401160053906917,3.9538254513977646,-42.34822867930116,0.5492252227167967,0.1345150422262467,5.409281142709515
1.4,1.9599999999999997,1.337987793548664,5137.607635007889,1.2236109749481516,2.3947263905485223,3.8555457387283885,-41.78672671071316,0.6260596705210862,0.1632204949231511,6.401191657921602
