r_Mpc,M_Msun,M_stat_err_Msun,M_syst_err_up_Msun,M_syst_err_down_Msun,M2hsub_Msun,M2hsub_stat_err_Msun,M2hsub_syst_err_up_Msun,M2hsub_syst_err_down_Msun,ρ_Msun_Mpc3,ρ_stat_err_Msun_Mpc3,ρ_syst_err_up_Msun_Mpc3,ρ_syst_err_down_Msun_Mpc3
0.45586136767961216,3.787305114082081e14,7.24789552932693e13,4.62088792402233e13,4.661854245138285e13,3.736999286967543e14,7.25039373996922e13,4.622096224188459e13,4.665822580715001e13,1.5269792019268e15,3.261670054407726e14,3.851398452847315e14,3.6707960448963575e14
0.6078214688522003,8.487085936032926e14,1.352247417916445e14,4.3728825291533836e13,4.057041604823788e13,8.390232743537785e14,1.3525235771479283e14,4.3724822027518734e13,4.061957568725265e13,2.094483614322864e14,2.1523762715156422e14,2.1293959682206384e14,2.1191452554498722e14
0.8105532851618501,8.111396947369328e14,1.914483933004774e14,5.894916439173969e13,5.224535041193498e13,7.92878572957687e14,1.9111374642568456e14,5.820075792315012e13,5.1597184332583695e13,-1.6777898120216352e13,1.2572500683852492e14,8.900007381289105e13,8.932878635446395e13
1.080815037009069,1.0318228473562772e15,2.9548309022120225e14,2.0267438393382863e13,9.909292281249656e12,9.978896448220885e14,2.9396392783331394e14,1.9944478607548652e13,9.772351993975027e12,1.2915196330290097e14,6.8652118745074016e13,1.1597051229160266e13,1.0217353666235375e13
1.4412587162390025,1.623426208324992e15,4.2437966009704575e14,5.4300757638228555e13,3.7545198348084484e13,1.5603756372534548e15,4.180100626589054e14,5.327640825838775e13,3.686470339784091e13,1.584281220926825e13,4.19485226887228e13,1.8973193793753344e13,1.870970674191576e13
1.9219212970297312,1.5613876787126658e15,5.467557581208637e14,8.438250382047886e13,7.109663593796588e13,1.447152390760528e15,5.2696930177521594e14,7.722555119977328e13,6.900053465160083e13,4.291840465112532e12,2.1985317297344332e13,1.2864765868378166e13,1.2830970897514535e13
2.562852078891311,1.9156594231053732e15,7.280597599695254e14,7.735426962186048e13,5.926669409806248e13,1.7130972911184485e15,7.10469467399238e14,9.187053262958223e13,7.48233479483924e13,7.462629253820326e12,1.2714312133510602e13,3.429898561312379e12,3.3534013641822676e12
3.417521133897513,1.5098635937475972e15,1.0860648335359656e15,1.2321127059745558e14,1.0838053076259227e14,1.162022861967664e15,1.0719863633534895e15,1.433050863618351e14,1.3002320344508695e14,-1.4789710755465445e13,7.923296462690512e12,2.6188869694190254e12,2.7821675166501816e12
4.557150884207774,-1.512124403939957e15,1.8557862433643352e15,6.54074747269635e14,6.686245738959466e14,-2.0834249873271752e15,1.84588835397484e15,7.101077757298351e14,7.259019814992679e14,-9.448163075575965e12,5.409866667361544e12,4.27287980602516e12,4.3529046528554336e12
6.076893912901957,-3.8056498619689895e15,3.717325093774968e15,8.421347141719514e14,8.401380387381845e14,-4.670252886454804e15,3.708334823303133e15,1.0424162067091775e15,1.0312535140145779e15,-1.3380194970917935e12,1.2959374764545828e12,1.3380194928628337e12,1.11075796396454e12
