galaxy,rotmod_file,sha256,bytes
NGC 5371,NGC5371_rotmod.dat,d55dde4dcfc864384ef407466ef56f4b63587e97e34b6e13d54319dbefac32a9,998
NGC 4088,NGC4088_rotmod.dat,97a858feede269f1c12e3617f0faf71f2cbf16f40507cd71acc2bdd859c7b71b,670
NGC 6195,NGC6195_rotmod.dat,da1178b7bf0c9e8064852f3a2a75ae54eb37fb870de41d9d954e3ae6c87e2fe4,1255
NGC 3877,NGC3877_rotmod.dat,37aa5dd3e38975f5e9ec76a686db64fe4fad75d5b33229dcc0203cef50081fc3,718
NGC 7331,NGC7331_rotmod.dat,87055981e7f0c741584ddea2f0fe9660dba7cc0c86697f2eb53cdaa75e536c9b,1841
NGC 3953,NGC3953_rotmod.dat,92f12228bc2b6fa95913906569dcc4b47df9af63a9e72495bc16e0e98cee1d32,487
NGC 6946,NGC6946_rotmod.dat,a59510ea4e394916584e20e40ab05802296e1a8203a29e9b7a4d2ce4993698d0,2877
NGC 3521,NGC3521_rotmod.dat,d958ae90aa3bfde0c4e0681ff80bc82726d0a6bff97072db9b7b9eb69a808c81,2069
NGC 0891,NGC0891_rotmod.dat,646e25cf1943a57f5a3da9d86126298bd5d38419f62a70664e2b7f7bb3247a34,992
NGC 4157,NGC4157_rotmod.dat,acc1483c4f614bb0b0ea698b48f6895a7c6ffdda53d04c56e04b5894ec43667d,924
NGC 5907,NGC5907_rotmod.dat,3ffc2c949a14772c9ae5c9c03dca8e5a6156c17529f4522c381797aadb66827c,994
NGC 3992,NGC3992_rotmod.dat,fb0718e689633130ec6445eb2bcf502d5dde5b58cc640ac768e1348c7ad9ad3a,531
NGC 3726,NGC3726_rotmod.dat,d1a9e410fec42cde4994b022d23d021d021ec8d585ec67a5d5532f7e5f62e56d,671
UGC 09037,UGC09037_rotmod.dat,2d6e16068bf87a96f7dc744e811ea32a17cb6b3f65b0b232881ff1cb6f12a14a,1136
NGC 4217,NGC4217_rotmod.dat,c97405576639281c5a0e5583bd68d98380c28507edbb36bffb99e96617230cb8,1021
NGC 2955,NGC2955_rotmod.dat,7852501ff93df47e2d81110ef4f32eec919c955522e4cec1135de19ed94855eb,1313
IC 4202,IC4202_rotmod.dat,1b202036246f957a1d6b6fc1477d9c7b8a0f5f9583a16fe401a997c1cc8e6074,1669
NGC 3893,NGC3893_rotmod.dat,2346ed0605d28cc9c235e6808c83acb2a85b28faa69aa50287a16c5fbcfd3f02,582
UGC 06973,UGC06973_rotmod.dat,b2aa464658a93c44c349abe466215591cb41195c0357f7c921fe3eb0bb77a875,539
NGC 2998,NGC2998_rotmod.dat,9117f8894c13b881cb800ee1526f1d61089c683d797d98130c2865d0f55b4394,721
UGC 06614,UGC06614_rotmod.dat,3965c5883e91710ecebb14e70ed640997ed97f0414018864531b0024081cc4a2,748
UGC 11455,UGC11455_rotmod.dat,93c6e207c2d7ae403e185df413171271c6cf03836892241f5a593ece8c2bbe24,1795
NGC 1090,NGC1090_rotmod.dat,c36735069b6423307437e91aded987492010d66971b690f62c2c9f5b3e1c9726,1225
UGC 02916,UGC02916_rotmod.dat,4b5a8b769f94f35c1ce6fed4900bdf621ead476d0a84df3189ea4ebb5110f5b5,2214
NGC 0801,NGC0801_rotmod.dat,91ed95878fd9996bc77a7094f0bce173187a14e139132a352b774013f480e89a,721
NGC 4100,NGC4100_rotmod.dat,d18e92da69e8d0eef934e0681f3c1e3a18164594156bfee25417dafdb64176f1,1226
NGC 5055,NGC5055_rotmod.dat,9281bdaf56f393223ec0618b1c58d291359e15cf75f18a941f2c30cdeb5526ce,1412
UGC 02455,UGC02455_rotmod.dat,f3d2bfe04596be981ef1548fdbbe9a13f44dc2b5a0cc96c549562e838269665e,466
UGC 03580,UGC03580_rotmod.dat,9cf8a0ff9f63c328fc990627519b4f55a32c5923d2f42b126ed98f27952874c6,2284
NGC 4559,NGC4559_rotmod.dat,84bd735a9b4966738aac5c209e1e9ae1a9ec5718726edef8a46279d6b603cd51,1564
NGC 4013,NGC4013_rotmod.dat,da5ba442cbf11e04932672f27a6848884965cd4c7377badb3cd1d0b3102e4f54,1810
NGC 3198,NGC3198_rotmod.dat,17b774ad11e7dd745a067073b76f1909d4de32fa87616df12b64da3f225cf953,2075
UGC 11557,UGC11557_rotmod.dat,b73a9cdd1afce43d9734301bb1a772ddd9080edfb7faaca63e8ec8e5559bfe32,642
NGC 4010,NGC4010_rotmod.dat,d2af757f5aabdba52761b9aa5a4a29e3f78238a99fe81cf06a7942eee882244b,651
NGC 2903,NGC2903_rotmod.dat,913855caab7f54bee01a53083a3745a57e6dad0d0800000e2d4933543e61afca,1691
NGC 7793,NGC7793_rotmod.dat,2f39a5ca966dbe82c9fc3679b0ca7404e9c34fb169f34ce4ed34a0bcbcfd9808,2154
NGC 3917,NGC3917_rotmod.dat,611132b0a90d25e421da67350ebbe56a1351186690e3f45927300138eee69d1d,886
F571-8,F571-8_rotmod.dat,71d08a339e9c50eb70efac280949244190f5d0d84adc9fac99a0d49a8ef06a38,688
NGC 3972,NGC3972_rotmod.dat,25519ddb9bcdd7c68c7406eacd38a9f97679a0ffe6dfb5b38f713767c4d1e2f5,562
NGC 3769,NGC3769_rotmod.dat,35046c8aba795d07b45dbcd19ffed725be9a3b8e916d168ecdf95ea8dc530d6d,662
NGC 5005,NGC5005_rotmod.dat,92708107b61d37f72200b769933544c5bf858635822d683dc3c12084018e34d0,1020
ESO 079-G014,ESO079-G014_rotmod.dat,dedf17c4700d0ab05e0cc0a6b292000558104d3b8c98e4fca8405d40b05bfe79,797
NGC 2976,NGC2976_rotmod.dat,8b447e058d8e1597ee0c1df7c2ee1ab1c0217bc86820b6627162cf17b578a48a,1310
UGC 04305,UGC04305_rotmod.dat,f8456a46a09418e2849f163a2db361fb5360720e5f4aa0d650e5a5ebe8f31c14,1063
NGC 4183,NGC4183_rotmod.dat,477c309a83513be43e790466f6a2f7baa3ea0a3244aa2eca59568e1a01160c8a,1143
NGC 5585,NGC5585_rotmod.dat,280f92beb5bd2d10e37facf2857159e805c5d0aca577323b9aca77aaa3ce602c,1157
UGC 07089,UGC07089_rotmod.dat,eba2051f29994523d371c019b02f5b24b4bd859b6aac80ff7a9e333abc5684ce,634
UGC 07151,UGC07151_rotmod.dat,8c8e387b899f73bd331a295ed318c97429a1b69aa3c7f9750b23ede56f26d4d5,597
UGC 04499,UGC04499_rotmod.dat,32366f914bdc3a4280045cf2798f10d9c1ece6772ab9ad5478ced9369fe65537,503
