galaxy,t50_gyr,g98,n_points,chi2nu_hermes
NGC 5371,7.5,32375.00085517243,19,1.048829444728106
NGC 4088,6.8,11061.20685578661,12,10.769292646505653
NGC 6195,7.9,38719.26611497974,23,0.6865751666094992
NGC 3877,7.3,10888.903094252872,13,3.5468525135663453
NGC 7331,7.0,42616.29342791137,36,4.149101651705092
NGC 3953,8.8,11518.261157969464,8,0.5039998668161734
NGC 6946,6.0,53690.955800987824,58,1.225281394087155
NGC 3521,3.2,67758.56586530268,41,1.0454780446379086
NGC 0891,7.8,73817.49527574962,18,2.4521519410541748
NGC 4157,8.4,13730.499083323482,17,2.599903950396403
NGC 5907,7.0,6121.190238897213,19,4.736555344635173
NGC 3992,7.2,5054.556840990105,9,4.83819184524337
NGC 3726,5.5,5387.333857463467,12,14.850760028362686
UGC 09037,5.0,7024.82957680365,22,9.1338034154156
NGC 4217,9.0,28015.658179310347,19,3.81746529986457
NGC 2955,7.4,37785.86105935484,24,1.03166698343868
IC 4202,7.8,21873.39096285224,32,4.782742306246384
NGC 3893,6.5,21704.56290861741,10,2.953982185908744
UGC 06973,8.2,67302.68240153255,9,7.8914340075189
NGC 2998,6.8,10283.282117079889,13,2.16500633724907
UGC 06614,8.0,15832.132091503265,13,4.291638714968944
UGC 11455,10.3,10456.117287540985,36,2.7609144561094414
NGC 1090,8.0,8616.261502044392,24,1.6170674585507
UGC 02916,7.4,44933.172032432405,43,2.591551038681477
NGC 0801,8.3,28744.19453846154,13,1.697686402411322
NGC 4100,7.0,6313.859853531952,24,3.382876470126069
NGC 5055,7.6,47718.114080963496,28,4.1246881778784
UGC 02455,5.5,4194.311578543046,8,11.826754740056264
UGC 03580,7.0,26258.132284910487,47,3.294627984475257
NGC 4559,6.3,4705.529777747624,32,2.432208516017364
NGC 4013,9.0,8175.220068425574,36,3.743554740914214
NGC 3198,7.0,9123.535924999986,43,2.8355146563356284
UGC 11557,7.8,2223.4532904911184,12,7.923148952557358
NGC 4010,6.0,2686.3247573464696,12,4.105246828766993
NGC 2903,6.2,84575.03018749978,34,5.127903090786777
NGC 7793,6.5,6428.2185064935065,46,1.0034207786942535
NGC 3917,7.0,1806.125370585075,17,3.890766954762229
F571-8,8.0,9115.949957586272,13,5.880932481645193
NGC 3972,7.3,2579.782404597701,10,2.1039998522066785
NGC 3769,6.0,8402.48132392118,12,3.0868717094438147
NGC 5005,9.3,120116.4332244898,18,0.2329107855524578
ESO 079-G014,7.2,2292.5264719101124,15,1.527095200801584
NGC 2976,10.0,4249.6544376278125,27,0.5686011558404291
UGC 04305,11.5,709.8628396825396,22,1.1690287493022806
NGC 4183,5.2,1601.2648643678156,23,0.3309089823101077
NGC 5585,5.0,2857.2943363148484,24,1.0921880672881232
UGC 07089,5.9,729.0814076912973,12,1.2972194857346957
UGC 07151,6.0,1477.7548800000002,11,0.4630614447190143
UGC 04499,5.4,942.117010989011,9,0.3635656889129131
UGC 07323,6.4,1057.262786285714,10,1.3115347250257994
UGC 05750,5.7,237.981842838216,11,0.1776034790466081
UGC 06917,6.0,1722.2990881226056,11,0.4163528162242888
NGC 0055,10.8,767.1383161894663,21,0.7344363688408256
F579-V1,7.5,1116.427555856466,14,0.1341152489537219
UGC 04325,5.7,924.714907458284,8,0.2562027670534091
UGC 05716,5.3,452.171925435017,12,0.7561196110325427
CamB,4.1,319.01572225266364,9,0.6067299268637472
UGC 08837,5.0,357.9872864191242,8,0.4974522106854993
UGC 07608,6.0,190.33639803921568,8,0.6805967587921988
DDO 154,5.0,322.8987283446712,12,0.4120275203255625
KK98-251,3.6,212.1289471104947,15,0.0952164756509208
UGC 07577,6.0,180.5909016118633,9,0.2670942427360865
UGC 04483,5.0,409.59148166666665,8,0.0440669677144578
DDO 64,6.2,377.590889260385,14,0.0225506840065374
UGC 06399,7.6,620.8034546600985,9,0.2641439614995502
UGC 05918,7.3,152.02122125785556,8,0.1115528674943347
UGC 01281,6.5,249.0989313063063,25,0.0999159251594327
UGC 05829,4.5,248.6846049270509,11,0.0750060756960098
IC 2574,11.7,160.8603319948022,34,0.089404099235754
UGCA 444,5.1,201.1672531185032,36,0.0535593134160079
UGC 05764,7.6,216.74919259108387,10,0.4520839586024873
NGC 2366,11.0,494.5677654543408,26,0.308302194163443
UGC 06667,5.7,171.62940641090134,9,1.905770927375488
UGC 12632,7.0,292.02967628791606,15,0.1230719383010694
UGC 00191,5.0,932.3110591133004,9,0.347931264924569
UGC 00731,3.7,162.32935429828697,12,0.6943082430981828
UGC 07524,4.7,551.2594260869562,31,0.1139137053417108
NGC 0247,7.4,563.719081684241,26,0.1825704443203346
DDO 161,5.0,478.9560010286744,31,0.2804930762381799
UGC 03205,7.9,33628.32597612268,48,6.7004490599597135
NGC 3109,11.5,165.718894866706,25,0.8624099712155422
D631-7,3.6,509.2096629629629,16,0.6179309029792512
F568-3,7.6,498.231190385271,18,0.4812200904851591
F583-1,5.0,237.3697833118438,25,0.6508007068573758
DDO 168,7.7,578.8923516129032,10,0.3064630973042138
UGC 04278,6.0,623.0601019381443,25,0.2899652411583652
UGC 01230,6.0,704.8977383524278,11,0.4427761577447336
F563-V2,6.0,632.9929935651271,10,0.6856635836822761
F574-1,5.5,755.3445920567377,14,0.2145289091961902
UGC 05005,6.0,434.24644029044737,11,0.6838054766075647
NGC 0100,7.5,1072.6607374137138,21,0.593537803235304
UGC 08286,5.6,677.7704239840107,17,0.4225985430126094
F563-1,5.6,337.5563497134606,17,1.8474656090559904
UGC 11820,6.0,599.1023862890086,10,0.2386722433367872
F568-V1,5.7,680.8505856584093,15,1.6258923177438016
NGC 3741,11.1,549.848101757632,21,0.8054620167031689
UGC 08550,5.8,729.7099704046568,11,0.2800903581303277
UGC 07603,5.7,1206.7523852941176,12,0.4158782736301742
UGC 12732,7.0,450.72003125,16,0.7601374108001848
UGC 06446,4.6,774.2945448275863,17,0.6106791067085416
NGC 0024,6.5,2613.1697965963745,29,0.5581003999710551
NGC 6015,6.0,5859.155003701493,44,3.1632370656448696
F568-1,7.1,586.9937999999999,12,1.872633916494552
UGC 05986,5.8,1721.731466489597,15,0.6395394227595522
NGC 0300,11.1,1064.0437579831932,25,0.8040890182000661
UGC 07399,5.4,1613.760936065574,10,1.8225344971817363
UGC 06983,5.1,1782.6967685823756,17,0.6062805686150569
UGC 03546,7.9,211180.4720793248,30,1.7541053782666858
UGC 08490,5.0,2322.229952941176,30,1.0400079680648142
UGC 12506,6.0,2963.70907456446,31,1.6092477208042724
UGC 00128,6.0,675.0228271999998,22,2.7555544402410965
NGC 1003,6.0,2198.354794076921,36,2.7467065017921595
NGC 2683,10.0,15724.974825136584,11,3.5158029405752416
UGC 05721,6.0,3801.809185185185,23,1.6543949742801676
NGC 6503,6.5,9386.726657894736,31,3.323929167103691
NGC 2915,8.5,4616.605800702367,30,4.504512401981145
NGC 4214,11.2,4984.674225396825,14,1.8002562901210044
UGC 11914,10.5,134011.73487521562,65,3.0969993821106767
NGC 2403,10.8,6966.305095652174,73,3.1316396516570237
UGC 05253,8.0,172480.7521902834,73,3.3800980476001765
UGC 08699,8.8,119376.01181395352,41,4.730495835079297
NGC 5985,10.0,6563.522270881915,33,7.386487427442187
NGC 0289,6.7,20835.150913047622,28,7.8238759134391795
NGC 6674,6.2,14970.85132192896,15,14.54174230227726
UGC 02953,8.8,141664.65773515732,115,9.714334314968236
NGC 5033,7.4,82842.22778684199,22,11.314932299299135
UGC 09133,9.3,114469.35728519736,68,10.412489575407855
UGC 06787,9.0,272010.3591714285,71,11.705007066899478
UGC 06786,8.6,91687.30508749996,45,11.69753661908068
NGC 7814,10.5,145488.97828599118,18,10.365398774115045
UGC 02885,9.0,38177.93558980163,19,19.333453259627287
NGC 2841,9.0,21762.96202416105,50,27.268479207913504
UGC 02487,10.8,10902.5277611796,17,35.028089057906485
